id	ranking	korTitle	releaseData	sales	audience	nation	producer	year	poster	movieId
24	4	스파이더맨 3	20070501	29511658000	4592309	미국	한국소니픽쳐스릴리징브에나비스타영화㈜	2007	http://file.koreafilm.or.kr/thm/02/00/00/94/tn_DPF000092.jpg	2296
25	5	캐리비안의 해적 - 세상의 끝에서	20070523	29133447500	4571229	미국	한국소니픽쳐스릴리징브에나비스타영화㈜	2007	http://file.koreafilm.or.kr/thm/02/00/00/95/tn_DPF000113.jpg	2306
26	6	해리 포터와 불사조 기사단	20070711	22899775300	3691060	미국	워너브러더스 코리아(주)	2007	http://file.koreafilm.or.kr/thm/02/00/00/95/tn_DPF000126.jpg	2311
27	7	다이하드 4.0 : 죽어도 산다	20070717	20622308900	3176937	미국	이십세기폭스필름코퍼레이션	2007	http://file.koreafilm.or.kr/thm/02/00/00/95/tn_DPF000127.jpg	2312
28	8	그놈 목소리	20070201	17598617600	2972299	한국	씨제이엔터테인먼트	2007	http://file.koreafilm.or.kr/thm/02/00/03/31/tn_DPK08153A.jpg	7250
29	9	식객	20071101	18972140500	2963196	한국	씨제이엔터테인먼트	2007	http://file.koreafilm.or.kr/thm/02/00/03/79/tn_DPK08520A.jpg	7283
30	10	300	20070314	18683698500	2929561	미국	워너브러더스 코리아(주)	2007	http://file.koreafilm.or.kr/thm/02/00/00/91/tn_DPF000044.jpg	2237
31	1	"좋은 놈, 나쁜 놈, 이상한 놈"	20080717	43747552000	6684933	한국	씨제이엔터테인먼트	2008	http://file.koreafilm.or.kr/thm/02/00/01/06/tn_DPK002938.jpg	7402
32	2	추격자	20080214	33986959000	5046096	한국	(주)쇼박스	2008	http://file.koreafilm.or.kr/thm/02/00/03/79/tn_DPK09422A.jpg	7389
33	3	쿵푸 팬더	20080605	29996476000	4653929	미국	씨제이엔터테인먼트	2008	http://file.koreafilm.or.kr/thm/02/00/01/06/tn_DPF000555.jpg	2614
34	4	맘마미아!	20080903	29571255750	4552475	미국	유니버설픽쳐스인터내셔널 코리아(유)	2008	http://file.koreafilm.or.kr/thm/02/00/01/12/tn_DPF000641.jpg	2663
35	5	과속스캔들	20081203	28506879500	4361509	한국	롯데쇼핑㈜롯데엔터테인먼트	2008	http://file.koreafilm.or.kr/thm/02/00/03/80/tn_DPK09869A.jpg	7441
36	6	강철중: 공공의 적 1-1	20080619	28638460100	4313101	한국	씨제이엔터테인먼트 (주)시네마서비스	2008	http://file.koreafilm.or.kr/thm/02/00/01/04/tn_DPK002902.jpg	7405
37	7	아이언 맨	20080430	27798047000	4290816	미국	씨제이엔터테인먼트	2008	http://file.koreafilm.or.kr/thm/02/00/01/04/tn_DPK002902.jpg	2582
38	8	인디아나 존스4 : 크리스탈 해골의 왕국	20080522	26689440000	4111753	미국	씨제이엔터테인먼트	2008	http://file.koreafilm.or.kr/thm/02/00/01/04/tn_DPF000532.jpg	2601
39	9	미이라 3: 황제의 무덤	20080730	26217311000	4090885	미국	유니버설픽쳐스인터내셔널 코리아(유)	2008	http://file.koreafilm.or.kr/thm/02/00/01/08/tn_DPF000608.jpg	2643
40	10	다크 나이트	20080806	26878184500	4060490	미국	주식회사 해리슨앤컴퍼니 워너브러더스 코리아(주)	2008	http://file.koreafilm.or.kr/thm/02/00/01/08/tn_DPF000611.jpg	2602
41	1	해운대	20090722	81025004000	11324433	한국	씨제이엔터테인먼트	2009	http://file.koreafilm.or.kr/thm/02/00/03/83/tn_DPK10097A.jpg	7463
42	2	국가대표	20090729	57570773000	8035181	한국	(주)쇼박스	2009	http://file.koreafilm.or.kr/thm/02/00/03/97/tn_DPK10130A.jpg	7479
43	3	트랜스포머: 패자의 역습	20090624	50697608000	7392990	미국	씨제이엔터테인먼트	2009	http://file.koreafilm.or.kr/thm/02/00/01/42/tn_DPF001898.JPG	2784
44	4	2012	20091112	38886883500	5390201	미국	한국소니픽쳐스릴리징브에나비스타영화㈜	2009	http://file.koreafilm.or.kr/thm/02/00/01/24/tn_DPF001007.jpg	2892
45	5	아바타	20091217	43441164500	5150667	미국	주식회사 해리슨앤컴퍼니 이십세기폭스코리아(주)	2009	http://file.koreafilm.or.kr/thm/02/00/01/36/tn_DPF001624.jpg	2889
46	6	터미네이터: 미래전쟁의 시작	20090521	29690943500	4499776	미국	롯데쇼핑㈜롯데엔터테인먼트	2009	http://file.koreafilm.or.kr/thm/02/00/01/15/tn_DPF000759.jpg	2751
47	7	7급 공무원	20090422	26380710000	4039891	한국	롯데쇼핑㈜롯데엔터테인먼트	2009	http://file.koreafilm.or.kr/thm/02/00/03/81/tn_DPK10093A.jpg	7460
48	8	과속스캔들	20081203	25293891900	3861757	한국	롯데쇼핑㈜롯데엔터테인먼트	2009	http://file.koreafilm.or.kr/thm/02/00/03/80/tn_DPK09869A.jpg	7441
49	9	쌍화점	20081230	22493822400	3296474	한국	(주)쇼박스	2009	http://file.koreafilm.or.kr/thm/02/00/03/80/tn_DPK09966A.jpg	7451
50	10	거북이 달린다	20090611	20618276000	3024666	한국	(주)쇼박스	2009	http://file.koreafilm.or.kr/thm/02/00/03/82/tn_DPK10255A.jpg	7493
51	1	아바타	20091217	81455728000	8151952	미국	주식회사 해리슨앤컴퍼니 이십세기폭스코리아(주)	2010	http://file.koreafilm.or.kr/thm/02/00/01/36/tn_DPF001624.jpg	2889
52	2	아저씨	20100804	47101332000	6178248	한국	씨제이엔터테인먼트	2010	http://file.koreafilm.or.kr/thm/02/00/01/35/tn_DPK004129.jpg	7619
53	3	인셉션	20100721	43394990000	5827444	미국	(주)디스테이션 워너브러더스 코리아(주)	2010	http://file.koreafilm.or.kr/thm/02/00/01/32/tn_DPF001450.jpg	3027
54	4	의형제	20100204	40153729000	5416812	한국	(주)쇼박스	2010	http://file.koreafilm.or.kr/thm/02/00/03/83/tn_DPK10889A.jpg	7552
55	5	아이언 맨 2	20100429	32635195500	4425003	미국	씨제이엔터테인먼트	2010	http://file.koreafilm.or.kr/thm/02/00/01/31/tn_DPF001396.jpg	8978
56	6	전우치	20091223	26345113000	3611472	한국	씨제이엔터테인먼트	2010	http://file.koreafilm.or.kr/thm/02/00/03/83/tn_DPK10269A.jpg	7503
57	7	이끼	20100714	25437300500	3350303	한국	씨제이엔터테인먼트	2010	http://file.koreafilm.or.kr/thm/02/00/01/34/tn_DPK004111.jpg	7577
58	8	포화속으로	20100616	23831958600	3330324	한국	롯데쇼핑㈜롯데엔터테인먼트	2010	http://file.koreafilm.or.kr/thm/02/00/03/90/tn_DPK11345A.jpg	8982
59	9	하모니	20100128	21641750000	3018131	한국	씨제이엔터테인먼트	2010	http://file.koreafilm.or.kr/thm/02/00/03/83/tn_DPK10897A.jpg	7557
60	10	방자전	20100602	22490024000	2985483	한국	씨제이엔터테인먼트	2010	http://file.koreafilm.or.kr/thm/02/00/01/33/tn_DPK004068.jpg	7592
61	1	트랜스포머 3	20110629	74840681500	7784743	미국	씨제이이앤엠(주)	2011	http://file.koreafilm.or.kr/thm/02/00/01/45/tn_DPF002037.JPG	3263
62	2	최종병기 활	20110810	55827861500	7470633	한국	롯데쇼핑㈜롯데엔터테인먼트	2011	http://file.koreafilm.or.kr/thm/02/00/01/46/tn_DPK004426.JPG	7747
63	3	써니	20110504	54035565100	7362657	한국	씨제이이앤엠(주)	2011	http://file.koreafilm.or.kr/thm/02/00/01/43/tn_DPK004335.JPG	7716
64	4	완득이	20111020	38526161500	5309928	한국	씨제이이앤엠(주)	2011	http://file.koreafilm.or.kr/thm/02/00/01/51/tn_DPK004580.JPG	7769
65	5	쿵푸 팬더 2	20110526	44298708500	5062720	미국	씨제이이앤엠(주)	2011	http://file.koreafilm.or.kr/thm/02/00/01/43/tn_DPF001946.JPG	3348
66	6	미션 임파서블: 고스트 프로토콜	20111215	37765048000	4975161	미국	씨제이이앤엠(주)	2011	http://file.koreafilm.or.kr/thm/02/00/01/49/tn_DPF002224.JPG	3441
67	7	조선명탐정: 각시투구꽃의 비밀	20110127	35841769500	4786259	한국	(주)쇼박스	2011	http://file.koreafilm.or.kr/thm/02/00/01/40/tn_DPK004246.JPG	7683
68	8	도가니	20110922	35566854800	4662822	한국	씨제이이앤엠(주)	2011	http://file.koreafilm.or.kr/thm/02/00/01/48/tn_DPK004495.JPG	7767
69	9	해리 포터와 죽음의 성물 - 2부	20110713	34507600000	4400270	미국	워너브러더스 코리아(주)	2011	http://file.koreafilm.or.kr/thm/02/00/01/46/tn_DPF002075.JPG	3387
70	10	리얼 스틸	20111012	26566677000	3579666	미국	한국소니픽쳐스릴리징브에나비스타영화㈜	2011	http://file.koreafilm.or.kr/thm/02/00/01/48/tn_DPF002173.JPG	3497
71	1	도둑들	20120725	93664808500	12983178	한국	(주)쇼박스	2012	http://file.koreafilm.or.kr/thm/02/00/01/66/tn_DPK005480.JPG	7814
72	2	"광해, 왕이 된 남자"	20120913	88899448769	12319390	한국	씨제이이앤엠(주)	2012	http://file.koreafilm.or.kr/thm/02/00/01/72/tn_DPK005647.JPG	7898
73	3	어벤져스	20120426	59557853478	7074867	미국	한국소니픽쳐스릴리징브에나비스타영화㈜	2012	http://file.koreafilm.or.kr/thm/02/00/01/62/tn_DPF002718.JPG	3714
74	4	늑대소년	20121031	46590107000	6654390	한국	씨제이이앤엠(주)	2012	http://file.koreafilm.or.kr/thm/02/00/01/76/tn_DPK005705.JPG	7893
75	5	다크 나이트 라이즈	20120719	47644838000	6396528	미국	워너브러더스 코리아(주)	2012	http://file.koreafilm.or.kr/thm/02/00/01/68/tn_DPF002861.JPG	3503
76	6	바람과 함께 사라지다	20120808	34614661161	4909937	한국	(주)넥스트엔터테인먼트월드(NEW)	2012	http://file.koreafilm.or.kr/thm/02/00/01/68/tn_DPK005547.JPG	7844
